"CASRN"	"DTXSID"	"Chemical_Name"	"LD50_mgkg"	"test_type"
"27776-01-8"	"DTXSID8041666"	"Benzyltoluene"	3100	"point estimate"
"27778-78-5"	NA	NA	454	"point estimate"
"27778-80-9"	NA	NA	451	"point estimate"
"27778-82-1"	NA	NA	324	"point estimate"
"27778-84-3"	NA	NA	561	"point estimate"
"27778-86-5"	NA	NA	741	"point estimate"
"27778-88-7"	NA	NA	1050	"point estimate"
"2778-04-3"	"DTXSID2041911"	"Endothion"	23	"point estimate"
"2778-41-8"	"DTXSID2073304"	"Benzene, 1,4-bis(1-isocyanato-1-methylethyl)-"	10000	"limit test (greater than)"
"2778-42-9"	"DTXSID4027498"	"1,3-Bis(2-isocyanatopropan-2-yl)benzene"	4600	"point estimate"
"2778-42-9"	"DTXSID4027498"	"1,3-Bis(2-isocyanatopropan-2-yl)benzene"	5000	"limit test (greater than)"
"2781-11-5"	"DTXSID2029242"	"Diethyl((diethanolamino)methyl)phosphonate"	5000	"limit test (greater than)"
"27811-88-7"	"DTXSID80182131"	"Trichlorodinitrobenzene"	425	"point estimate"
"27813-02-1"	NA	NA	2000	"limit test (greater than)"
"27813-02-1"	NA	NA	11200	"point estimate"
"2782-40-3"	"DTXSID70182140"	"Benzamide, N-butyl-"	5140	"point estimate"
"2782-70-9"	"DTXSID2040280"	"S-{4-[(Dimethoxyphosphorothioyl)sulfanyl]benzyl} O,O-dimethyl phosphorodithioate"	265	"point estimate"
"2782-91-4"	"DTXSID5026126"	"1,1,3,3-Tetramethyl-2-thiourea"	920	"point estimate"
"2783-94-0"	"DTXSID6021456"	"FD&C Yellow 6"	2000	"limit test (greater than)"
"2783-94-0"	"DTXSID6021456"	"FD&C Yellow 6"	10000	"limit test (greater than)"
"27833-18-7"	"DTXSID80474528"	"Epiboldenone"	2000	"limit test (greater than)"
"2784-27-2"	NA	NA	5000	"limit test (greater than)"
"27848-84-6"	"DTXSID7045607"	"Nicergoline"	1193	"point estimate"
"2785-87-7"	"DTXSID2047199"	"2-Methoxy-4-propylphenol"	2600	"point estimate"
"27858-07-7"	NA	NA	2000	"point estimate"
"27858-07-7"	NA	NA	17000	"limit test (greater than)"
"27879-29-4"	NA	NA	2180	"point estimate"
"2789-92-6"	"DTXSID50182183"	"Anthranilic acid, 3,5-dichloro-"	4120	"point estimate"
"27891-14-1"	NA	NA	1450	"point estimate"
"27896-84-0"	"DTXSID50885405"	"1H-Benzimidazole, 6-nitro-, nitrate (1:1)"	1600	"limit test (greater than)"
"27912-14-7"	"DTXSID6020777"	"Levobunolol hydrochloride"	700	"point estimate"
"27942-00-3"	NA	NA	8150	"point estimate"
"27945-43-3"	"DTXSID00182219"	"4(3H)-Quinazolinone, 3-(3,5-dimethyl-4-hydroxyphenyl)-2-methyl-"	230	"point estimate"
"27954-37-6"	"DTXSID4042460"	"Tetrafluron"	1265	"point estimate"
"27955-94-8"	"DTXSID2037712"	"4,4',4-Ethane-1,1,1-triyltriphenol"	5000	"limit test (greater than)"
"27959-26-8"	"DTXSID9048722"	"Nicomolol"	10000	"point estimate"
"2797-51-5"	"DTXSID1041390"	"2-Amino-3-chloro-1,4-naphthoquinone"	200	"limit test (greater than)"
"2797-51-5"	"DTXSID1041390"	"2-Amino-3-chloro-1,4-naphthoquinone"	500	"limit test (less than)"
"2797-51-5"	"DTXSID1041390"	"2-Amino-3-chloro-1,4-naphthoquinone"	1360	"point estimate"
"27970-79-2"	"DTXSID0029341"	"3-Pentanone, 1-hydroxy-2-methyl-"	2000	"limit test (greater than)"
"28005-74-5"	"DTXSID9051955"	"2,2'-[(2-Methylphenyl)imino]bisethanol"	2200	"point estimate"
"2801-68-5"	"DTXSID2091540"	"(+/-) -1-(2,5-Dimethoxyphenyl)-2-aminopropane"	171	"point estimate"
"2807-30-9"	"DTXSID1027500"	"2-Propoxyethanol"	3089	"point estimate"
"2807-30-9"	"DTXSID1027500"	"2-Propoxyethanol"	4450	"point estimate"
"281-23-2"	"DTXSID5022017"	"Adamantane"	10000	"limit test (greater than)"
"2814-20-2"	"DTXSID1027502"	"2-Isopropyl-6-methyl-4-pyrimidone"	2700	"point estimate"
"28140-60-5"	"DTXSID4051958"	"3-Anilinoacraldehyde anil, HCl salt"	1130	"point estimate"
"28156-60-7"	"DTXSID30182424"	"Poly-N-(2-hydroxyethyl)acrylamide"	2000	"limit test (greater than)"
"28173-59-3"	"DTXSID8067361"	"Carbonic acid, 2-[(1-amino-9,10-dihydro-4-hydroxy-9,10-dioxo-2-anthracenyl)oxy]ethyl phenyl ester"	2000	"limit test (greater than)"
"28175-97-5"	"DTXSID80182454"	"GS 31144"	5000	"limit test (greater than)"
"28178-42-9"	"DTXSID9051959"	"2,6-Diisopropylphenyl isocyanate"	1414	"point estimate"
"2818-89-5"	"DTXSID20182458"	"Benzoselenazole, 2,5-dimethyl-"	1060	"point estimate"
"28213-87-8"	NA	NA	24	"point estimate"
"28217-97-2"	"DTXSID2058049"	"Chloromethiuron"	2500	"point estimate"
"28231-03-0"	"DTXSID3051961"	"Cedr-8(15)-en-4-ol"	5000	"limit test (greater than)"
"28249-77-6"	"DTXSID6024337"	"Thiobencarb"	920	"point estimate"
"28249-77-6"	"DTXSID6024337"	"Thiobencarb"	1300	"point estimate"
"28249-77-6"	"DTXSID6024337"	"Thiobencarb"	1903	"point estimate"
"2830-87-7"	NA	NA	1000	"point estimate"
"28300-74-5"	"DTXSID3039240"	"Antimony potassium tartrate trihydrate"	115	"point estimate"
"2835-39-4"	"DTXSID4039233"	"Allyl isovalerate"	230	"point estimate"
"2835-95-2"	"DTXSID9024489"	"5-Amino-2-methylphenol"	3600	"point estimate"
"283594-90-1"	"DTXSID1034929"	"Spiromesifen"	2000	"limit test (greater than)"
"283594-90-1"	"DTXSID1034929"	"Spiromesifen"	2500	"limit test (greater than)"
"2836-32-0"	"DTXSID6047153"	"Glycolic acid sodium salt"	7110	"point estimate"
"28382-15-2"	"DTXSID5034694"	"Maleic hydrazide, potassium salt"	3900	"point estimate"
"28395-03-1"	"DTXSID5022699"	"Bumetanide"	6000	"limit test (greater than)"
"2840-28-0"	"DTXSID8044414"	"3-Amino-4-chlorobenzoic acid"	8000	"limit test (greater than)"
"2842-38-8"	"DTXSID00182633"	"Ethanol, 2-(cyclohexylamino)-"	38300	"point estimate"
"28434-00-6"	"DTXSID2039336"	"S-Bioallethrin"	430	"point estimate"
"28434-01-7"	"DTXSID2034382"	"Bioresmethrin"	1244	"point estimate"
"284462-37-9"	"DTXSID10586507"	"4-(4-Aminophenoxy)-N-methylpyridine-2-carboxamide"	2000	"point estimate"
"28472-97-1"	"DTXSID9027942"	"Nonanedioic acid, diisodecyl ester"	2000	"limit test (greater than)"
"28508-28-3"	NA	NA	1770	"point estimate"
"2852-07-5"	"DTXSID5073959"	"1,3-Butadiene, 1,1,2-trichloro-"	680	"point estimate"
"2853-69-2"	"DTXSID40182753"	"Pteridine, 6-o-tolyl-2,4,7-triamino-"	1800	"point estimate"
"28534-37-4"	"DTXSID80182757"	"Salicylamide, 5-methoxy-"	1900	"point estimate"
"28548-09-6"	NA	NA	1.2	"point estimate"
"28558-32-9"	"DTXSID2034960"	"Thiabendazole hypophosphite"	3100	"point estimate"
"28559-00-4"	"DTXSID3041825"	"Cypendazole"	2500	"point estimate"
"2856-75-9"	"DTXSID60182775"	"Modaline sulfate"	730	"point estimate"
"28562-70-1"	"DTXSID20182776"	"Furcarbanil [ISO]"	64	"point estimate"
"28570-58-3"	"DTXSID00182779"	"Benzoic acid, p-(3-(benzyloxy)-1H-indazol-1-yl)-, butyl ester"	2000	"point estimate"
"28610-84-6"	NA	NA	1500	"point estimate"
"28616-48-0"	NA	NA	12.4	"point estimate"
"28657-80-9"	"DTXSID8022822"	"Cinoxacin"	3610	"point estimate"
"2866-43-5"	"DTXSID8051966"	"2,2'-Thiophene-2,5-diylbis(benzoxazole)"	30000	"limit test (greater than)"
"2866-82-2"	"DTXSID40182819"	"Benzamide, N-(4-chlorophenyl)-"	500	"limit test (greater than)"
"2867-47-2"	"DTXSID1027504"	"2-(Dimethylamino)ethyl methacrylate"	455	"point estimate"
"2867-47-2"	"DTXSID1027504"	"2-(Dimethylamino)ethyl methacrylate"	1550	"point estimate"
"2867-47-2"	"DTXSID1027504"	"2-(Dimethylamino)ethyl methacrylate"	1751	"point estimate"
"2867-47-2"	"DTXSID1027504"	"2-(Dimethylamino)ethyl methacrylate"	2000	"limit test (greater than)"
"286938-65-6"	"DTXSID40182854"	"Capryl methicone"	2000	"limit test (greater than)"
"286938-65-6"	"DTXSID40182854"	"Capryl methicone"	2000	"point estimate"
"287-29-6"	"DTXSID60883356"	"Silacyclobutane"	1539	"point estimate"
"287-92-3"	"DTXSID6024886"	"Cyclopentane"	5000	"limit test (greater than)"
"287-92-3"	"DTXSID6024886"	"Cyclopentane"	11400	"point estimate"
"2871-01-4"	"DTXSID2021236"	"HC Red 3"	1000	"limit test (greater than)"
"2872-48-2"	"DTXSID1062677"	"9,10-Anthracenedione, 1,4-diamino-2-methoxy-"	891	"point estimate"
"2872-96-0"	NA	NA	500	"point estimate"
"2873-97-4"	"DTXSID1024916"	"Diacetone acrylamide"	1000	"limit test (greater than)"
"2873-97-4"	"DTXSID1024916"	"Diacetone acrylamide"	1000	"point estimate"
"2873-97-4"	"DTXSID1024916"	"Diacetone acrylamide"	1770	"point estimate"
"2873-97-4"	"DTXSID1024916"	"Diacetone acrylamide"	2000	"limit test (less than)"
"2873-97-4"	"DTXSID1024916"	"Diacetone acrylamide"	2000	"point estimate"
"28730-17-8"	"DTXSID8042137"	"Methfuroxam"	1470	"point estimate"
"28743-45-5"	NA	NA	24	"point estimate"
"2876-78-0"	"DTXSID2042143"	"Methyl 1-naphthaleneacetate"	1900	"point estimate"
"28770-01-6"	"DTXSID30865447"	"3-Oxazolidineethanol, 2-(1-methylethyl)-"	300	"limit test (greater than)"
"28770-01-6"	"DTXSID30865447"	"3-Oxazolidineethanol, 2-(1-methylethyl)-"	2000	"limit test (less than)"
"28772-56-7"	"DTXSID9032589"	"Bromadiolone"	0.49	"point estimate"
"28772-56-7"	"DTXSID9032589"	"Bromadiolone"	0.56	"limit test (greater than)"
"28772-56-7"	"DTXSID9032589"	"Bromadiolone"	0.84	"limit test (less than)"
"28782-19-6"	"DTXSID20182958"	"Flavoxate succinate"	1445	"point estimate"
"28782-42-5"	"DTXSID0022931"	"Difenoxin"	149	"point estimate"
"28785-06-0"	"DTXSID6067412"	"Benzaldehyde, 4-propyl-"	1600	"point estimate"
"28789-80-2"	"DTXSID30182969"	"2,2-Dimethyl-2,3-dihydrobenzofuranyl-7-N-dimethoxyphosphinothioyl-N-methylcarbamate"	150	"limit test (greater than)"
"288-32-4"	"DTXSID2029616"	"Imidazole"	220	"point estimate"
"288-88-0"	"DTXSID6027131"	"1H-1,2,4-Triazole"	500	"limit test (greater than)"
"288-88-0"	"DTXSID6027131"	"1H-1,2,4-Triazole"	1320.39	"point estimate"
"288-88-0"	"DTXSID6027131"	"1H-1,2,4-Triazole"	1648	"point estimate"
"288-88-0"	"DTXSID6027131"	"1H-1,2,4-Triazole"	1650	"point estimate"
"288-88-0"	"DTXSID6027131"	"1H-1,2,4-Triazole"	1750	"point estimate"
"288-88-0"	"DTXSID6027131"	"1H-1,2,4-Triazole"	5000	"limit test (less than)"
"28802-49-5"	"DTXSID5073458"	"Furan, dimethyl-"	300	"point estimate"
"28805-78-9"	"DTXSID7042069"	"Isonoruron"	1600	"point estimate"
"2883-98-9"	NA	NA	1010	"point estimate"
"2885-39-4"	NA	NA	0.158	"point estimate"
"28861-00-9"	"DTXSID10652913"	"N-Carbamoyl-3-methoxy-O,alpha-dimethyl-L-tyrosine"	5000	"limit test (greater than)"
"28874-51-3"	"DTXSID50183074"	"Sodium pidolate"	2000	"limit test (greater than)"
"2889-58-9"	"DTXSID2073308"	"Benzene, 1-(1-isocyanato-1-methylethyl)-4-(1-methylethenyl)-"	4400	"point estimate"
"2890-61-1"	NA	NA	200	"limit test (greater than)"
"2890-61-1"	NA	NA	2000	"limit test (less than)"
"28911-01-5"	"DTXSID6046763"	"Triazolam"	7500	"limit test (greater than)"
"2893-78-9"	"DTXSID3024994"	"Sodium dichloroisocyanurate"	1420	"point estimate"
"2893-78-9"	"DTXSID3024994"	"Sodium dichloroisocyanurate"	1500	"point estimate"
"2893-78-9"	"DTXSID3024994"	"Sodium dichloroisocyanurate"	1670	"point estimate"
"28950-61-0"	NA	NA	10000	"limit test (greater than)"
"2896-70-0"	"DTXSID4044905"	"(2,2,6,6-Tetramethyl-4-oxopiperidin-1-yl)oxidanyl"	1464	"point estimate"
"28968-05-0"	NA	NA	287	"point estimate"
"28968-07-2"	NA	NA	41	"point estimate"
"28968-09-4"	NA	NA	35	"point estimate"
"2898-11-5"	NA	NA	900	"point estimate"
"2898-12-6"	"DTXSID1048708"	"Medazepam"	900	"point estimate"
"28998-48-3"	NA	NA	450	"point estimate"
"28998-50-7"	NA	NA	410	"point estimate"
"28998-51-8"	NA	NA	254	"point estimate"
"2901-13-5"	"DTXSID90282994"	"ethyl 2-methyl-2-phenylpropanoate"	2000	"limit test (greater than)"
"29026-74-2"	"DTXSID20183268"	"2-Isopropoxyaniline"	840	"point estimate"
"2905-62-6"	"DTXSID1027506"	"3,5-Dichlorobenzoyl chloride"	794	"point estimate"
"29050-11-1"	NA	NA	1550	"point estimate"
"29053-27-8"	NA	NA	1160	"point estimate"
"29069-24-7"	"DTXSID4021183"	"Prednimustine"	530	"point estimate"
"29075-61-4"	NA	NA	572	"point estimate"
"29110-48-3"	NA	NA	142	"point estimate"
"29122-60-9"	NA	NA	445	"point estimate"
"29122-68-7"	"DTXSID2022628"	"Atenolol"	2000	"limit test (greater than)"
"29122-68-7"	"DTXSID2022628"	"Atenolol"	3000	"point estimate"
"2915-52-8"	"DTXSID6062705"	"2-Butenedioic acid (2Z)-, didodecyl ester"	2000	"limit test (greater than)"
"2915-53-9"	"DTXSID1027508"	"2-Butenedioic acid (2Z)-, dioctyl ester"	14200	"point estimate"
"2915-57-3"	"DTXSID60863057"	"Butanedioic acid, 1,4-bis(2-ethylhexyl) ester"	2000	"limit test (greater than)"
"2915-72-2"	"DTXSID1062706"	"Benzoic acid, dodecyl ester"	34500	"point estimate"
"2917-19-3"	NA	NA	50	"point estimate"
"29171-21-9"	"DTXSID00865474"	"6-Octen-1-yn-3-ol, 3,7-dimethyl-, 3-acetate"	9618	"point estimate"
"29173-31-7"	"DTXSID5042118"	"Mecarphon"	57	"point estimate"
"29177-84-2"	NA	NA	10000	"limit test (greater than)"
"29181-23-5"	NA	NA	760	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	66	"limit test (greater than)"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	82	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	134	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	151	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	195	"limit test (less than)"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	223	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	276	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	320	"point estimate"
"2921-88-2"	"DTXSID4020458"	"Chlorpyrifos"	350	"point estimate"
"29214-60-6"	"DTXSID3051969"	"Ethyl 2-acetyloctanoate"	5000	"limit test (greater than)"
"29214-81-1"	"DTXSID10183474"	"Urea, 1,3-diisobutyl-2-thio-"	800	"point estimate"
"29216-28-2"	"DTXSID8023262"	"Mequitazine"	245	"point estimate"
"29218-27-7"	"DTXSID40865478"	"Toloxatone"	1225	"point estimate"
"2922-54-5"	"DTXSID4020907"	"Monosodium succinate"	8000	"limit test (greater than)"
"29232-93-7"	"DTXSID0024266"	"Pirimiphos-methyl"	1250	"point estimate"
"29232-93-7"	"DTXSID0024266"	"Pirimiphos-methyl"	1414	"point estimate"
"29232-93-7"	"DTXSID0024266"	"Pirimiphos-methyl"	1450	"point estimate"
"29232-93-7"	"DTXSID0024266"	"Pirimiphos-methyl"	1840	"limit test (greater than)"
"29232-93-7"	"DTXSID0024266"	"Pirimiphos-methyl"	2260	"limit test (less than)"
"2929-87-5"	"DTXSID40183543"	"Boric acid, (2,6-di-tert-butyl-p-tolyl) diisopropyl ester"	5200	"point estimate"
"29329-71-3"	"DTXSID8027953"	"Phosphonic acid, (1-hydroxyethylidene)bis-, sodium salt"	3550	"point estimate"
"2935-44-6"	"DTXSID50871000"	"2,5-Hexanediol"	2000	"point estimate"
"2935-90-2"	"DTXSID6027509"	"Methyl 3-sulfanylpropanoate"	181.7	"point estimate"
"2935-90-2"	"DTXSID6027509"	"Methyl 3-sulfanylpropanoate"	193.6	"point estimate"
"2935-90-2"	"DTXSID6027509"	"Methyl 3-sulfanylpropanoate"	206.4	"point estimate"
"2937-50-0"	"DTXSID2051972"	"Allyl chloroformate"	244	"point estimate"
"294-93-9"	"DTXSID6059780"	"1,4,7,10-Tetraoxacyclododecane"	2830	"point estimate"
"2941-55-1"	"DTXSID6041925"	"Ethiolate"	400	"point estimate"
"29427-58-5"	"DTXSID1067467"	"Carbamimidic acid, methyl ester, sulfate (1:1)"	3700	"point estimate"
"29457-72-5"	"DTXSID2032421"	"Lithium perfluorooctane sulfonate"	154	"point estimate"
"2949-22-6"	"DTXSID3062738"	"Acetic acid, isocyanato-, ethyl ester"	1130	"point estimate"
"2953-29-9"	"DTXSID2042226"	"O,O,S- Trimethyl dithiophosphate"	15	"point estimate"
"2955-38-6"	"DTXSID4021181"	"Prazepam"	4000	"limit test (greater than)"
"29560-84-7"	"DTXSID5041481"	"3-Chloro-2-propen-1-ol"	102	"point estimate"
"295800-70-3"	"DTXSID50630134"	"1,4-Bis[(2-ethylhexyl)amino]-5,8-dihydroxyanthracene-9,10-dione"	2000	"limit test (greater than)"
"29590-42-9"	NA	NA	5000	"limit test (greater than)"
"29597-36-2"	"DTXSID30860119"	"2H-2a,7-Methanoazuleno[5,6-b]oxirene, octahydro-3,6,6,7a-tetramethyl-"	5000	"limit test (greater than)"
"2961-61-7"	"DTXSID3042055"	"Ioxynil-lithium"	71	"point estimate"
"2961-62-8"	"DTXSID0058354"	"Ioxynil sodium"	112	"point estimate"
"2961-68-4"	"DTXSID5058355"	"Bromoxynil potassium salt (1:1)"	130	"point estimate"
"29632-98-2"	NA	NA	3200	"limit test (greater than)"
"2964-06-9"	NA	NA	75	"point estimate"
"29670-17-5"	NA	NA	600	"point estimate"
"29689-00-7"	"DTXSID60183843"	"Phosphorothioic acid, O,O-diethyl O-(2-nitrophenyl) ester"	25	"point estimate"
"297-78-9"	"DTXSID3021306"	"Isobenzan"	4.8	"point estimate"
"297-78-9"	"DTXSID3021306"	"Isobenzan"	6.2	"point estimate"
"297-78-9"	"DTXSID3021306"	"Isobenzan"	6.6	"point estimate"
"297-78-9"	"DTXSID3021306"	"Isobenzan"	8.9	"point estimate"
"297-78-9"	"DTXSID3021306"	"Isobenzan"	11.1	"point estimate"
"297-90-5"	NA	NA	350	"point estimate"
"297-97-2"	"DTXSID8042470"	"Thionazin"	3.5	"point estimate"
"297-97-2"	"DTXSID8042470"	"Thionazin"	12	"point estimate"
"29701-07-3"	"DTXSID8048739"	"Bekanamycin sulfate"	10000	"limit test (greater than)"
"2971-38-2"	"DTXSID6041345"	"2,4-D chlorocrotyl ester"	547	"point estimate"
"29717-26-8"	"DTXSID20183864"	"Phenolphthalein, tetraiodo-"	2800	"point estimate"
"29727-70-6"	"DTXSID40183881"	"2-Naphthalenesulfonic acid, 6-amino-5-sulfomethyl-"	9200	"point estimate"
"2975-36-2"	NA	NA	1000	"point estimate"
"29766-64-1"	NA	NA	2502	"point estimate"
"2978-58-7"	"DTXSID1062752"	"3-Butyn-2-amine, 2-methyl-"	1470	"point estimate"
"2979-26-2"	NA	NA	804	"point estimate"
"298-00-0"	"DTXSID1020855"	"Methyl parathion"	6.01	"point estimate"
"298-00-0"	"DTXSID1020855"	"Methyl parathion"	14	"point estimate"
"298-00-0"	"DTXSID1020855"	"Methyl parathion"	24	"point estimate"
"298-00-0"	"DTXSID1020855"	"Methyl parathion"	42814	"point estimate"
"298-01-1"	"DTXSID0058358"	"cis-Mevinphos"	3	"point estimate"
"298-02-2"	"DTXSID4032459"	"Phorate"	1	"point estimate"
"298-02-2"	"DTXSID4032459"	"Phorate"	1.1	"point estimate"
"298-02-2"	"DTXSID4032459"	"Phorate"	1.4	"point estimate"
"298-02-2"	"DTXSID4032459"	"Phorate"	2	"point estimate"
"298-02-2"	"DTXSID4032459"	"Phorate"	3.7	"point estimate"
"298-03-3"	"DTXSID7041839"	"Demeton-O"	7.5	"point estimate"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	1.9	"point estimate"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	2	"limit test (greater than)"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	2.3	"point estimate"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	2.6	"point estimate"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	6.2	"point estimate"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	6.8	"point estimate"
"298-04-4"	"DTXSID0022018"	"Disulfoton"	12	"limit test (less than)"
"298-06-6"	"DTXSID6027133"	"O,O-Diethyl dithiophosphate"	4510	"point estimate"
"298-07-7"	"DTXSID1027134"	"Bis(2-ethylhexyl) phosphate"	4940	"point estimate"
"298-14-6"	"DTXSID0021177"	"Potassium bicarbonate"	2000	"limit test (greater than)"
"298-18-0"	"DTXSID9020455"	"dl-Diepoxybutane"	210	"point estimate"
"298-46-4"	"DTXSID4022731"	"Carbamazepine"	1957	"point estimate"
"298-57-7"	"DTXSID3022821"	"Cinnarizine"	6500	"limit test (greater than)"
"298-59-9"	"DTXSID8020886"	"Methylphenidate hydrochloride"	350	"point estimate"
"298-81-7"	"DTXSID8020830"	"8-Methoxypsoralen"	791	"point estimate"
"29804-22-6"	"DTXSID4035548"	"cis-7,8-Epoxy-2-methyloctadecane"	34600	"limit test (greater than)"
"29806-73-3"	"DTXSID3027958"	"2-Ethylhexyl hexadecanoate"	5000	"limit test (greater than)"
"29809-48-1"	NA	NA	250	"point estimate"
"2984-66-9"	NA	NA	180	"point estimate"
"2984-68-1"	NA	NA	150	"point estimate"
"2986-17-6"	"DTXSID1062756"	"Thiourea, N,N'-bis(1-methylethyl)-"	450	"point estimate"
"29868-97-1"	NA	NA	5000	"point estimate"
"298692-41-8"	NA	NA	200	"limit test (greater than)"
"298692-41-8"	NA	NA	2000	"limit test (less than)"
"2987-46-4"	"DTXSID20183985"	"Thiocyanic acid, p-aminophenyl ester"	240	"point estimate"
"29886-96-2"	NA	NA	5000	"limit test (greater than)"
"299-27-4"	"DTXSID7029617"	"Potassium D-gluconate"	10380	"point estimate"
"299-42-3"	"DTXSID0022985"	"Ephedrine"	600	"point estimate"
"299-42-3"	"DTXSID0022985"	"Ephedrine"	681	"point estimate"
"299-45-6"	NA	NA	14.7	"point estimate"
"2990-21-8"	"DTXSID40184015"	"1-Propanol, 3,3'-(cyclohexylimino)di-, dimethanesulfonate (ester), hydrochloride"	375	"point estimate"
"2991-51-7"	"DTXSID3042009"	"Glycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium salt"	619	"point estimate"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	1820	"limit test (greater than)"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	2610	"point estimate"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	2730	"limit test (less than)"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	3160	"limit test (greater than)"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	3160	"point estimate"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	3700	"point estimate"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	4000	"point estimate"
"29911-28-2"	"DTXSID8027959"	"1-(2-Butoxy-1-methylethoxy)propan-2-ol"	4400	"point estimate"
"29918-57-8"	NA	NA	20250	"point estimate"
"2996-92-1"	"DTXSID5040700"	"Trimethoxyphenylsilane"	1049	"point estimate"
"2997-92-4"	"DTXSID3049756"	"2,2'-Azobis(2-amidinopropane) dihydrochloride"	410	"point estimate"
"2997-92-4"	"DTXSID3049756"	"2,2'-Azobis(2-amidinopropane) dihydrochloride"	2000	"point estimate"
"29973-13-5"	"DTXSID3037545"	"Ethiofencarb"	200	"point estimate"
"29975-16-4"	"DTXSID5020572"	"Estazolam"	2500	"point estimate"
"300-42-5"	"DTXSID3048865"	"dl-Methamphetamine hydrochloride"	29	"point estimate"
"300-57-2"	"DTXSID00861855"	"benzene, 2-propenyl-"	5540	"point estimate"
"300-62-9"	"DTXSID4022600"	"Amphetamine"	30	"point estimate"
"300-76-5"	"DTXSID1024209"	"Naled"	92	"point estimate"
"300-76-5"	"DTXSID1024209"	"Naled"	250	"point estimate"
"300-76-5"	"DTXSID1024209"	"Naled"	281	"point estimate"
"300-76-5"	"DTXSID1024209"	"Naled"	430	"point estimate"
"30007-14-8"	NA	NA	500	"point estimate"
"30007-39-7"	NA	NA	650	"point estimate"
"3001-57-8"	NA	NA	482	"point estimate"
"3001-63-6"	NA	NA	2590	"point estimate"
"30011-11-1"	"DTXSID70184088"	"Bimetopyrol"	1800	"point estimate"
"30034-03-8"	"DTXSID2045579"	"Cefamandole sodium"	16600	"limit test (greater than)"
"3004-70-4"	"DTXSID0041301"	"2-(Diethylamino)-4-(isopropylamino)-6-methoxy-s-triazine"	885	"point estimate"
"30043-49-3"	"DTXSID8035005"	"Ethidimuron"	5000	"point estimate"
"3006-15-3"	"DTXSID3042392"	"Sodium 1,4-dihexyl sulfosuccinate"	1750	"point estimate"
"3006-82-4"	"DTXSID0027511"	"Hexaneperoxoic acid, 2-ethyl-, 1,1-dimethylethyl ester"	10000	"limit test (greater than)"
"3006-86-8"	"DTXSID4044907"	"1,1-Bis(tert-butylperoxy)cyclohexane"	13342	"point estimate"
"3006-86-8"	"DTXSID4044907"	"1,1-Bis(tert-butylperoxy)cyclohexane"	16653	"point estimate"
"3006-86-8"	"DTXSID4044907"	"1,1-Bis(tert-butylperoxy)cyclohexane"	21500	"limit test (greater than)"
"30086-84-1"	"DTXSID00184172"	"o-Acetotoluidide, 4'-benzoyl-2-ethoxy-"	2280	"point estimate"
"30087-33-3"	NA	NA	720	"point estimate"
"30087-47-9"	"DTXSID6041971"	"Fenethacarb"	1600	"point estimate"
"301-11-1"	"DTXSID8041456"	"2-Thiocyanatoethyl dodecanoate"	500	"point estimate"
"301-12-2"	"DTXSID8025541"	"Oxydemeton-methyl"	30	"point estimate"
"301-12-2"	"DTXSID8025541"	"Oxydemeton-methyl"	48	"point estimate"
"301-12-2"	"DTXSID8025541"	"Oxydemeton-methyl"	50	"point estimate"
"301-12-2"	"DTXSID8025541"	"Oxydemeton-methyl"	61	"point estimate"
"301-12-2"	"DTXSID8025541"	"Oxydemeton-methyl"	96	"point estimate"
"301-13-3"	"DTXSID4026264"	"Tris(2-ethylhexyl) phosphite"	6200	"point estimate"
"3010-02-4"	"DTXSID8062781"	"Acetonitrile, (diethylamino)-"	160	"point estimate"
"30129-27-2"	"DTXSID60184214"	"Anthranilic acid, N-2,3-xylyl-, carvacryl ester"	2000	"limit test (greater than)"
